Season,River,Regulation,RT.location,Date,Month,Net.Type,Lat,Long,Elevation,Time.removed.from.net,Recapture,Microchip.Number,Platypus.Number,Weight.(plat.+.bag),Weight.(bag),WeightF,Sex,Age,TVI,Bill.Width.(mm),Bill.Length.w.shield.,Bill.Length.w/o.shield.,Total.body.length,Tail.length,TailWMid,PCV,TPC,Urea,Creatinine,Albumin
Third,Ovens,U,Peechelba403256,3/24/2018,3,f,-36.738527,146.975783,318,12:00:00 AM,n,00079FA3F0,V29,1.48,0.14,1.34,M,A,3,56,79,58,510,145,95,53,6.8,37.2,,33
Third,Ovens,U,Peechelba403257,4/12/2018,4,g,-36.699684,146.9096,275,12:00:00 AM,n,0007A0309B,V30,1.76,0.08,1.68,M,A,2,52,80,58,540,155,112,,,,,
Third,Ovens,U,Peechelba403258,4/18/2018,4,g,-36.725589,146.963083,306,12:00:00 AM,y,0007A06017,V11,1.02,0.13,0.89,F,A,5,43,70,52,446,125,68,49,6,26.6,35,31
Third,MittaUS,R,Hinnomunjie 401204,5/3/2018,5,g,-36.891481,147.631409,513,12:00:00 AM,n,00079F8693,V31,0.6,0.14,0.46,F,J,3,39,59,45,377,123,64,50,6,27.4,35,30
Third,MittaUS,R,Hinnomunjie 401205,5/3/2018,5,g,-36.891481,147.631409,513,3:36:00 AM,n,0007A3DAE4,V32,1.51,0.15,1.36,M,A,3,50,73,55,510,164,101,57,,31.1,40,37
Third,MittaUS,R,Hinnomunjie 401206,5/3/2018,5,g,-36.891481,147.631409,513,12:00:00 PM,n,0007A2E92B,V33,0.86,0.1,0.76,F,A,2,40,63,46,416,126,80,55,6.4,30.8,25,38
Third,MittaDS,R,,5/8/2018,5,g,-36.508674,147.411724,282,7:12:00 AM,n,0007A083BE,V34,2.11,0.12,1.99,M,A,1,56,78,60,565,170,84,55,6.6,30.2,70,38
Third,MittaDS,R,,5/11/2018,5,f,-36.508228,147.412276,289,7:12:00 AM,n,0007A317F1,V35,1.7,0.12,1.58,M,A,3,59,80,59,540,164,100,60,7,31.6,30,39
Third,MittaDS,R,,5/13/2018,5,g,-36.514876,147.374988,273,12:00:00 AM,n,00079F6D2F,V36,1.78,0.14,1.64,M,A,2,56,82,57,554,165,85,,,,,
Third,MittaDS,R,,5/16/2018,5,g,-36.51879,147.377085,274,7:12:00 AM,n,00079F8056,V37,1.46,0.1,1.36,M,A,,50,76,58,540,160,85,55,7.4,33.8,40,40
